;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Категория;Название;Артикул;Описание;Краткое описание;Количество;Сопротивление;Чувствительность;Частотный диапазон;Высота;Ширина;Мощность;Вес;Количество полос;Диаметр;Цена
;Встроенная;Акустика Klipsch CDT-2650-C II;Klipsch CDT-2650-C II;,Встроенные профессиональные аудио-системы для всего дома становятся все более популярными,, чем когда-либо,, Klipsch реализовала свой потенциал в данном направлении,, представив свою линейку таких устройств,, среди которых встраиваемая акустика Klipsch CDT-2650-C II White. Данная модель тоже относится к высококлассным колонкам. В ней Klipsch внедрили собственно разработанную технологию контролируемой дисперсии,, благодаря которой стало возможным равномерное излучение системы и регулировка направленности звука.,;Акустика Klipsch CDT-2650-C II;10;8 Ом;91 дБ;77-20000 Гц;;;50-100 Вт;,2,,99 кг.,;2;,24,,13 см.,;200
;Встроенная;Акустика Klipsch CDT-2800-C II;Klipsch CDT-2800-C II;,Встроенные профессиональные аудио-системы для всего дома становятся все более популярными,, чем когда-либо,, Klipsch реализовала свой потенциал в данном направлении,, представив свою линейку таких устройств,, среди которых встраиваемая акустика Klipsch. Данная модель тоже относится к высококлассным колонкам. В ней Klipsch внедрили собственно разработанную технологию контролируемой дисперсии,, благодаря которой стало возможным равномерное излучение системы и регулировка направленности звука.,;Акустика Klipsch CDT-2800-C II;10;8 Ом;91 дБ;77-20000 Гц;;;50-100 Вт;,2,,99 кг.,;2;,24,,13 см.,;200
;Встроенная; Акустика Klipsch CDT-3650-C II;Klipsch CDT-3650-C II;,Встроенные профессиональные аудио-системы для всего дома становятся все более популярными,, чем когда-либо,, Klipsch реализовала свой потенциал в данном направлении,, представив свою линейку таких устройств,, среди которых встраиваемая акустика Klipsch. Данная модель тоже относится к высококлассным колонкам. В ней Klipsch внедрили собственно разработанную технологию контролируемой дисперсии,, благодаря которой стало возможным равномерное излучение системы и регулировка направленности звука.,; Акустика Klipsch CDT-3650-C II;10;8 Ом;91 дБ;77-20000 Гц;;;50-100 Вт;,2,,99 кг.,;2;,24,,13 см.,;200
;Встроенная; АкустикаKlipsch CDT-3800-C II;Klipsch CDT-3800-C II;,Встроенные профессиональные аудио-системы для всего дома становятся все более популярными,, чем когда-либо,, Klipsch реализовала свой потенциал в данном направлении,, представив свою линейку таких устройств,, среди которых встраиваемая акустика Klipsch. Данная модель тоже относится к высококлассным колонкам. В ней Klipsch внедрили собственно разработанную технологию контролируемой дисперсии,, благодаря которой стало возможным равномерное излучение системы и регулировка направленности звука.,; АкустикаKlipsch CDT-3800-C II;10;8 Ом;91 дБ;77-20000 Гц;;;50-100 Вт;,2,,99 кг.,;2;,24,,13 см.,;200
;Встроенная; АкустикаKlipsch CDT-5650-C II;Klipsch CDT-5650-C II;,Встроенные профессиональные аудио-системы для всего дома становятся все более популярными,, чем когда-либо,, Klipsch реализовала свой потенциал в данном направлении,, представив свою линейку таких устройств,, среди которых встраиваемая акустика Klipsch. Данная модель тоже относится к высококлассным колонкам. В ней Klipsch внедрили собственно разработанную технологию контролируемой дисперсии,, благодаря которой стало возможным равномерное излучение системы и регулировка направленности звука.,; АкустикаKlipsch CDT-5650-C II;10;8 Ом;91 дБ;77-20000 Гц;;;50-100 Вт;,2,,99 кг.,;2;,24,,13 см.,;200
;Встроенная; Акустика Klipsch CDT-5800-C II;Klipsch CDT-5800-C II;,Встроенные профессиональные аудио-системы для всего дома становятся все более популярными,, чем когда-либо,, Klipsch реализовала свой потенциал в данном направлении,, представив свою линейку таких устройств,, среди которых встраиваемая акустика Klipsch. Данная модель тоже относится к высококлассным колонкам. В ней Klipsch внедрили собственно разработанную технологию контролируемой дисперсии,, благодаря которой стало возможным равномерное излучение системы и регулировка направленности звука.,; Акустика Klipsch CDT-5800-C II;10;8 Ом;91 дБ;77-20000 Гц;;;50-100 Вт;,2,,99 кг.,;2;,24,,13 см.,;200
;Встроенная; Акустика Klipsch R-2502-W II;Klipsch R-2502-W II;,Встраиваемая акустика Klipsch R-2502-W II White принесет в практически любое помещение классическую силу и качественное звучание,, характерное для Klipsch. Это колонка предназначена для применения в качестве левого,, правого (вертикальная установка) или центрального (горизонтальная) канала вашей аудиосистемы. ,; Акустика Klipsch R-2502-W II;10;8 Ом;91 дБ;47-20000 Гц;;;60-240 Вт;,2,,8 кг.,;2;;250
;Встроенная;Акустика Klipsch R-2650-W II;Klipsch R-2650-W II;;Акустика Klipsch R-2650-W II;10;;;;;;;;;;
;Встроенная; Акустика Klipsch R-3650-W II;Klipsch R-3650-W II;; Акустика Klipsch R-3650-W II;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-3800-W II;Klipsch R-3800-W II;;Акустика Klipsch R-3800-W II;10;;;;;;;;;;
;Встроенная; Акустика Klipsch R-5502-W II;Klipsch R-5502-W II;; Акустика Klipsch R-5502-W II;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-5650-W II;Klipsch R-5650-W II;;Акустика Klipsch R-5650-W II;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-5650-S II;Klipsch R-5650-S II;;Акустика Klipsch R-5650-S II;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-5800-W II;Klipsch R-5800-W II;;Акустика Klipsch R-5800-W II;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-2650-C II;Klipsch R-2650-C II;;Акустика Klipsch R-2650-C II;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-1800-C;Klipsch R-1800-C;;Акустика Klipsch R-1800-C;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-1650-C;Klipsch R-1650-C;;Акустика Klipsch R-1650-C;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-1650-W;Klipsch R-1650-W;;Акустика Klipsch R-1650-W;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-2650-CSM II;Klipsch R-2650-CSM II;;Акустика Klipsch R-2650-CSM II;10;;;;;;;;;;
;Встроенная;Акустика Klipsch R-2800-CSM II;Klipsch R-2800-CSM II;;Акустика Klipsch R-2800-CSM II;10;;;;;;;;;;
;Встроенная;Акустика Klipsch RW-5802 IW SUB;Klipsch RW-5802 IW SUB;;Акустика Klipsch RW-5802 IW SUB;10;;;;;;;;;;
