;;;;;;;;
Подгруппа;Название (ИМЯ);Производитель;Артикул;Количество;Краткое описание;Описание ;Оптовая цена $;Розничная цена $
Домашние кинотеатры Hi-End, AV-ресиверы;Ресивер R-N602BL;Yamaha;R-N602BL;100;Сетевой ресивер R-N602BL с высоким качеством звука ;Сетевой HiFi-ресивер с высоким качеством звука для воспроизведения сигнала стандарта DSD 5,6 МГц. Аппарат совместим с технологией MusicCast и оснащен сетевыми функциями. Воспроизведение сигнала с источников различных типов, включая источники высокого разрешения, смартфоны и потоковые сервисы. Ресивер R-N602 имеет режим ECO, который почти на 20%* сокращает потребление электроэнергии, а также функцию автоматического выключения, которая может срабатывать через 2, 4, 8 или 12 часов. Уникальный дизайн R-N602, простой и привлекательный, унаследован непосредственно от Hi-Fi компонентов Yamaha, включает также удобное расположение кнопок. Шлифованная алюминиевая передняя панель имеет приятную на ощупь текстурированную отделку. Ручки управления те же, что и на наших самых шикарных моделях. Все в R-N602 — как внутри, так и снаружи — демонстрирует приверженность компании идее совершенства и функциональности.;652;652
Hi-Fi Компоненты, CD проигрыватели;CD-проигрыватель CD-S300;Yamaha;CD-S300;100;CD-проигрыватель CD-S300;Высокое качество звука, простое управление и специальные функции, такие как Pure Direct, Intelligent Digital Servo, поддержка iPod и USB, поддержка форматов MP3/WMA. Исключительно продвинутая схемотеника. В плеере короткие пути прохождения сигнала. Высококачественные ЦАПы для высокоточного преобразования с малым уровнем шума и интеллектуальный цифровой сервопривод. Есть режим Pure Direct и поддержка форматов MP3 и WMA. USB-порт на передней панели для подключения плеера iPod и других устройств.;357;357
Hi-Fi Компоненты, CD проигрыватели;CD-проигрыватель CD-S700;Yamaha;CD-S700;100;CD-проигрыватель CD-S700;Проигрыватель компакт-дисков CD-S700 обеспечивает прекрасное качество звука и позволяет воспроизводить музыку, записанную на компакт-дисках и USB-аудиоустройствах. Цифро-аналоговый преобразователь, работающий в разностном режиме, для обеспечения точного преобразования с минимальными помехами.;615;615
Hi-Fi Компоненты, CD проигрыватели;CD-проигрыватель CDC-600;Yamaha;CDC-600;100;CD-проигрыватель CDС-600;5-дисковый CD-чейнджер с технологией PlayXchange для продолжительного наслаждения музыкой. Запатентованная технология PlayXchange компании Yamaha полностью открывающийся лоток для дисков для смены 5 дисков одновременно , Pure Direct, а также чрезвычайно сложные схемы и компоновка для обеспечения короткого тракта сигнала и мощный цифро-аналоговый преобразователь.;348;348
Hi-Fi Компоненты, CD проигрыватели;CD-проигрыватель CD-S1000;Yamaha;CD-S1000BLPB;100;5-дисковый CD-плеер CD-S1000 с технологией PlayXchange ;5-дисковый CD-чейнджер с технологией PlayXchange для продолжительного наслаждения музыкой.  Симметричная передача сигнала от цифро-аналогового преобразователя. Трансформаторы с изолированным цифро-аналоговым ходовым механизмом и секциями индикации для подавления шума.;1358;1358
Hi-Fi Компоненты, CD проигрыватели;CD-проигрыватель CD-S2100;Yamaha;CD-S2100;100;CD-проигрыватель CD-S2100;Новое схемное решение для исключения потерь составляющих аудиосигнала плюс высокоточный механизм привода для более достоверного воспроизведения. Этот CD-проигрыватель высокого класса, обеспечивающий новое звучание от Yamaha, оснащен аудиоинтерфейсом USB и ЦАПом повышенной эффективности, а также другими передовыми функциями. Модель CD-S2100 имеет полностью симметричную конструкцию: механизм загрузки диска расположен в центре, блок питания и плата цифровой схемы — слева, а блок питания и плата аналоговой схемы — справа. Полная взаимная изоляция цифрового и аналогового модулей исключает появление помех между схемами, и одновременно обеспечивается идеальная весовая балансировка. Центральная рама, связывающая между собой переднюю и заднюю части корпуса, и передняя панель из алюминия толщиной 5 мм увеличивают жесткость шасси в целом и гарантируют стабильное воспроизведение диска. В CD-S2100 применена схема с двумя трансформаторами питания: для цифровых и аналоговых цепей используются отдельные специальные трансформаторы. Взаимное изолирование цифровой и аналоговой частей схемы еще на трансформаторной стадии исключает ухудшение качества звучания из-за наводок и шумов между цифровым и аналоговым модулями — проблему, возникающую при наличии единого источника питания. В результате достигается исключительно чистое воспроизведение аналогового звука с малым уровнем помех. Помимо того, для питания аналоговой части схемы используется тороидальный трансформатор, обеспечивающий стабильную подачу питания с малым рассеянием магнитного потока, а стабилизированная схема соединения обмоток полностью изолирована слева и справа. Тем самым достигается превосходное схемное разделение, чрезвычайно значимое для аппаратуры высокого класса. Для оптимального воспроизведения современных источников звука высокого разрешения мы оснастили CD-S2100 балансным сигнальным выходом и высокоэффективной функцией USB-ЦАПа, обеспечивающей прямую подачу на вход цифрового аудиосигнала с компьютера и аналогичных устройств. В этом USB-ЦАПе используется оригинальная интегральная схема, разработанная специально для Yamaha. Она имеет встроенный генератор синхроимпульсов и способна осуществлять передачу с малым джиттером.;2850;2850
Hi-Fi Компоненты, CD проигрыватели;CD-проигрыватель CD-S3000;Yamaha;CD-S3000;100;CD-проигрыватель CD-S3000;Приводной механизм высокой прочности, инновационная электронная схема для воспроизведения аудиосигнала без потерь. Прорыв к максимальному качеству — полное раскрытие сущности музыки. CD-проигрыватель высшего класса — модель CD-S3000.;6457;6457
Hi-Fi Компоненты, Стереоресиверы;Стереоресивер R-S202;Yamaha;R-S202;100;Стереоресивер модель R-S202 мощностью 2 х 100 Вт;Hi-Fi ресивер с выдающимися звуковыми качествами и элегантным дизайном характерным для Yamaha. Совместимость с Bluetooth® обеспечивает беспроводной доступ к музыкальным файлам на вашем смартфоне или других устройствах. Yamaha со своей 125-летней историей производителя музыкальных инструментов также заслуженно пользуется высокой репутацией изготовителя Hi-Fi компонентов. Этот богатый опыт в сочетании с новейшими технологиями и обусловил появление ресивера R-S202. Созданная на базе концепции «Natural Sound», предполагающей максимально естественное звучание и тщательную проработку всей конструкции от электронных схем вплоть до воссоздания звука, эта модель обеспечивает очень музыкальное, насыщенное звучание, хотя и относится к категории начального уровня. Модель R-S202 мощностью 2 х 100 Вт, что превосходит показатель, характерный для аппаратов этого класса, имеет тщательно продуманную конструкцию с кратчайшими путями прохождения сигнала и оптимизированной схемотехникой. Размещение силового трансформатора рядом со схемой оконечного каскада снижает потери мощности и повышает пиковую мощность блока питания, что дает дополнительное повышение громкости. Заземление цепи сигнала и блока питания в одной точке с целью устранения взаимных помех и достижения оптимального отношения сигнал\шум. В результате повышается четкость и открытость звучания. Вы можете сохранить в памяти настройки на 40 FM- и АМ-станций, а затем вызывать их нажатием кнопок на передней панели ресивера или на ПДУ. Функция Auto Preset позволяет автоматически находить и сохранять в памяти FM-станции, принимаемые в вашем регионе. Частота настройки отображается на дисплее, и при желании можно легко перестроиться на новую станцию. Ресивер R-S202 унаследовал изысканный и лаконичный дизайн, характерный для аудиотехники Yamaha. Его элегантная шлифованная панель гармонично сочетается с внешним видом других устройств. Средства управления на передней панели подтверждают нашу приверженность простоте и удобству в использовании. Ресивер оснащен двумя комплектами разъемов для подключения двух пар акустических систем. Специальный селектор позволяет переключаться с одной пары АС на другую (А или В) или прослушивать звучание сразу двух пар колонок (А+В). Если в течение определенного времени с ресивером не выполняется никаких операций, специальная функция автоматически отключает питание, переводя аппарат в режим ожидания. Для срабатывания этой функции можно установить интервал в 2, 4, 8 или 12 часов, или вовсе отключить ее. Энергопотребление в режиме ожидания составляет всего 0,5 Вт, обеспечивая эффективный режим экономии.;302;302
